type,input,output,A,B,C,D,E
doctor,"29세 산과력 0-0-0-0인 여자가 20일 전부터 질출혈이 계속된다고 병원에 왔다. 내과적 질환이나 복용하는 약물은 없다. 월경은 1년에 2～3회 있었다. 키 160 cm, 몸무게 80 kg이다. 골반초음파검사에서 자궁내막 두께는 20 mm이고, 자궁부속기에 덩이는 없다. 검사 결과는 다음과 같다. 치료는?혈액: 혈색소 10.5 g/dL, 혈소판 150,000/mm^3 프로트롬빈시간 13초(참고치, 12.7～15.4) 활성화부분트롬보플라스틴시간 27초(참고치, 26.3～39.4) 갑상샘자극호르몬 2.5 mIU/L (참고치, 0.34～4.25) 프로락틴 25 ng/mL (참고치, 1.9～25) 소변: 임신반응검사 음성 자궁내막생검: 비정형성이 없는 단순 자궁내막증식증(simple hyperplasia without atypia) ",Choice 5,클로미펜,타목시펜,메트포르민,에스트로겐,프로게스테론
pharm,"다음 사례를 읽고 각 문제에 적합한 답을 고르시오. [사례 1] • 임신 중 흡연과 저체중아 출산 간의 인과관계를 밝히기 위한 역학연구를 수행하였다.• 2018년부터 2020년까지 한 병원에서 출생한 신생아 중 저체중아 500명과 정상체중아 500명을 선정하고 산모의 임신 중 흡연력을 조사하였다.[사례 2] • 흡연과 폐암 간의 인과관계를 밝히기 위한 역학연구를 수행 중이다.• 2018년부터 2020년까지의 40세 이상 내원자 중, 폐암에 이환되지 않은 1,000명을 대상으로 흡연자와 비흡연자를 구분하였다.• 두 집단의 폐암 발생에 관한 추적조사는 2050년까지 30여 년간 이루어질 것이다. 사례 1의 역학연구 방법은?",Choice 3,단면연구,무작위 임상시험,환자- 대조군 연구,전향적 코호트 연구,후향적 코호트 연구
pharm,"간경화증이 있는 53세 남자가 자발성 세균성 복막염을 예방하기 위해 노르플록사신(norfloxacin) 을 복용하고 있다. 최근 1주일간 복수가 증가하였고, 검사 결과 자발성 세균성 복막염이 진단되었을 때, 적절한 경험적 항균제는?[활력징후] 체온 38.7℃, 혈압 112/75 mmHg, 심박수 68회/분 호흡수 18회/분[임상검사] 혈액검사: Alb 2.2 g/dL, 복수검사: Alb 0.9 g/dL, 다형핵백혈구(PMN) 300/mm^3 ",Choice 2,암피실린(ampicillin),세포탁심(cefotaxime),반코마이신(vancomycin),시프로플록사신(ciprofloxacin),아지트로마이신(azithromycin)
nurse,과다활동으로 최근 한 달간 체중이 3 kg 감소된 조증 환자에게 적절한 간호중재는?,Choice 4,정해진 시간에 음식을 먹도록 한다.,음식을 먹는 장소를 식당으로 제한한다.,"커피, 콜라 등의 음료로 수분을 보충한다.",손에 들고 다니며 먹을 수 있는 음식을 먹도록 한다.,간식은 제한하고 병원에서 제공된 음식을 먹도록 한다.
dentist,무치악 환자의 1차 부하지지 부위로 적절한 것은?,Choice 1,편평한 경구개부,뚜렷한 하악골융기,예리한 악설골융선,융기된 정중구개봉선,경사진 후구치삼각융기
doctor,"13개월 남아가 39.5℃의 열과 함께 경련이 있어 병원에 왔다. 전신 발작은 5분 만에 멈추었다. 임신 나이 38주, 출생체중 2,950 g으로 출생하였고, 3개월에 머리를 가누었고, 8개월에는 앉혀 놓으면 혼자 앉아 있었다. 현재는 혼자 걸을 수 있다. 경련의 가족력은 없었다. 검사는?",Choice 1,경과관찰,뇌파검사,발달검사,뇌 자기공명영상,뇌 컴퓨터단층촬영
pharm,"허가사항 중 이상반응으로 여성형 유방 발현이 기재되어, 특히 장기간 복용하는 남자에게 이에 관한 복약지도가 필요한 약물은?",Choice 5,로사르탄(losartan),아테놀롤(atenolol),푸로세미드(furosemide),로수바스타틴(rosuvastatin),스피로노락톤(spironolactone)
doctor,"25세 남자가 2주 전부터 구역과 피로감으로 왔다. 공막에 황달이 있었으며, 갈비뼈 아래 압통을
동반한 간비대가 2횡지로 만져졌다. 혈액검사 결과는 다음과 같다. 진단은?
아스파르테이트 아미노전달효소 320 U/L, 알라닌 아미노전달효소 430 U/L 
총 빌리루빈 3.4 mg/dL,  직접 빌리루빈 2.0 mg/dL, 
HBsAg (-), anti-HBs (-), anti-HBc IgM (+), anti-HAV IgG (+), anti-HCV (-) ",Choice 2,급성 A형 간염,급성 B형 간염,만성 B형 간염의 급성 악화,만성 B형 간염의 면역관용기,만성 B형 간염에 급성 A형 간염 중복감염
doctor,"15세 남아가 2일 전부터 오른쪽 귀밑과 턱주위가 붓고 아파서 병원에 왔다. 3일 전에 발열, 구토와두통이 있었다. 체온은 37℃였고, 피부에 발진은 없었다. 혈액검사 결과는 다음과 같았다. 진단은?혈색소 12.5 g/dL, 백혈구 5,100/mm^3,혈소판 253,000/mm^3,C-반응단백질 5.2 mg/L (참고치, 0.4∼7.9), 아밀라아제 500 U/L (참고치, 30～100) ",Choice 3,풍진,홍역,볼거리,가와사키병,목 고름림프절염
doctor,"58세 남자가 6개월 전부터 몸무게가 7 kg 늘어서 병원에 왔다. 추위를 자주 느낀다고 한다. 6년 전 두경부암으로 방사선 치료를 받았다. 혈압 150/90 mmHg, 맥박 62회/분, 호흡 16회/분, 체온 36.4℃이다. 갑상샘은 만져지지 않으며, 얼굴이 붓고 전신 피부가 거칠게 만져진다. 혈액검사 결과는 다음과 같다. 치료는?Na +/K+/Cl- 132/4.5/108 meq/L  T3 42 ng/dL (참고치, 77～135) 유리 T4 0.39 ng/dL (참고치, 0.8～1.7) 갑상샘자극호르몬 89.5 mIU/L (참고치, 0.34～4.25) ",Choice 4,저염식,루골용액,푸로세미드,레보티록신,글루코코르티코이드
dentist,정상 치수에 가장 많은 세포는?,Choice 2,림프구(lymphocyte),섬유모세포(fibroblast),대식세포(macrophage),상아모세포(odontoblast),가지돌기세포(dendritic cell)
doctor,정상적인 노화과정에서 감퇴하지 않고 평생동안 유지되는 인지기능은?,Choice 5,삽화기억(episodic memory),작업기억(working memory),집행기능(executive function),동작성지능(performance intelligence),언어성지능(verbal intelligence)
doctor,"38세 남자가 쌕쌕거림과 호흡곤란 때문에 왔다. 일주일에 2회 정도 호흡곤란이 있지만
일상생활이나 수면에는 크게 지장이 없다고 하였다. 기관지확장제반응검사에 양성이었다. 흡입
스테로이드와 흡입 속효성 베타2작용제를 처방하였다. 치료 후 천식의 조절 정도를 평가할 수
있는 항목은?",Choice 3,강제폐활량,혈액 호산구 수,일상활동의 제약,혈청 총 IgE 치,흡입 스테로이드 사용 횟수
pharm,"절대온도 T(K) 에서 비전해질 약물 a g이 녹아 있는 수용액 1 L의 삼투압이 0.5 기압일 때, 이 약물의 분자량(g/mol) 은? [단, R (L ∙ 기압/mol ∙ K) 는 기체상수이다.]",Choice 2,aRT,2aRT,5aRT,aRT/5,a/(2RT)
dentist,칼시토닌(calcitonin)이 생성되는 주된 장기는?,Choice 4,간,췌장,신장,갑상샘,솔방울샘
doctor,"‘A’ 군의 외곽지역에 대규모 다목적 댐을 건설할 계획이다. 댐 건설 공청회에서 대규모 공사로 인한 수몰지역 발생, 생태계 변화 등 환경변화가 주민건강에 미치는 부정적 영향을 사전에 평가할 필요성이 제기되었다. 이러한 영향을 평가하는 것은 오타와 헌장의 어느 건강증진 활동영역에 해당하는가?",Choice 4,지원적 환경 조성,지역사회 활동 강화,개인의 건강기술 개발,건강지향적인 공공정책 수립,보건의료서비스 방향 재설정
doctor,4세 남아가 항문이 가려워서 병원에 왔다. 가려움은 주로 밤에 심했고 항문 주위에 국한되어있었다. 먼저 시행해야 하는 검사는?,Choice 5,직장손가락검사,알레르기 피부검사,혈청 총면역글로불린 E,우드등(Wood's lamp) 검사,항문주위 셀로판테이프검사
pharm,급성골수성백혈병으로 공고요법을 받은 38세 남자가 호중구감소성 발열을 예방하기 위해 필그라스팀(filgrastim) 을 수일간 투여받고 있다. 모니터링이 필요한 약물이상반응은?,Choice 4,발작,서맥,혈변,뼈통증,미각이상
doctor,「지역보건법」에 따라 시 ∙ 도지사 또는 시장 ∙ 군수 ∙ 구청장이 지역주민의 건강을 증진하기 위하여 수립하는 지역보건의료계획은 몇 년마다 수립되어야 하는가?,Choice 4,1년,2년,3년,4년,5년
doctor,"31세 산과력 1-0-0-1인 여자가 2년 전 분만한 이후부터 현재 까지 월경이 없어서 병원에 왔다. 분만 당시 심한 산후출혈로 집중치료실에 입원하여 수혈치료를 받았다. 모유가 나오지 않아 수유를 하지 못했다고 한다. 키 16200, 체중 5610이다. 혈압 104/68 mmHg, 맥박 68회/분, 호흡 20회/분, 체온 36.6°C이다. 검사 결과는 다음과 같다. 진단은?
혈액: 난포자극호르몬 1.2 mIU/mL (참고치, 3.0 ~ 20.0)
성호르몬 0.3 mIU/mL (참고치, 2.0 ~ 15.0)
트라다이올 5.0 pg/mL (참고치, 20 ~ 200)
갑상샘자극호르몬 0.41 mIU/mL (참고치, 0.34 ~ 4.25)
프로락틴 3.2 ng/mL (참고치, 1.9 ~ 25.0)
소변: 임신반응검사 음성",Choice 3,조기난소부전,시상하부무월경,뇌하수체저하증,다낭난소증후군,아스헤르만증후군
pharm,"연수의 호흡중추를 흥분시키며, 전신 근육에 강직성 경련(tonic convulsion) 을 일으키는 monoterpenoid indole alkaloid 성분은?",Choice 5,aconitine,matrine,pilocarpine,quinine,strychnine
pharm,"조절 T 세포(regulatory T cell) 바이오마커로서, T 세포의 성장 및 증식유지 인자의 수용체와 관련 있는 것은?",Choice 3,CD4,CD19,CD25,FoxP3,GATA3
dentist,근관충전 방법 중 길이 조절이 가장 용이한 방법은?,Choice 2,캐리어법,측방가압법,수직가압법,열연화주입법,연속파가압법(continuous wave of condensation technique)
nurse,신규간호사의 스트레스 관리를 위하여 간호관리자가 선택할 수 있는 방법으로 옳은 것은?,Choice 3,스트레스는 관리가 어려우므로 이직을 권한다.,신규간호사의 역량을 강화하기 위해 담당 환자를 추가로 배정한다.,자신의 감정을 솔직하게 털어놓고 지지해 줄 대상을 찾아보도록 한다.,간호업무는 누구나 긴장하는 업무이므로 특별한 문제가 아니라고 말한다.,실수와 부족은 개인문제이므로 스스로 극복할 수 있도록 간호사에게 맡긴다.
doctor,25세 남자가 공중화장실에서 소변을 보기 힘들다고 하였다. 사람의 시선을 의식하면 온몸이 긴장되고 소변이 나오지 않아서 대변을 보는 곳에서 해결해 왔다고 하였다. 이러한 증상 때문에 공공장소에 외출하기가 불편한 것 이외에 나머지 일상생활에서는 문제가 없다고 하였다. 비뇨기과 진료에서 이상소견은 없었다. 진단은?,Choice 3,강박장애,범불안장애,사회공포증,주요우울장애,회피성인격장애
pharm,"다음 사례를 읽고 각 문제에 적합한 답을 고르시오. Rh 음성 산모가 첫 번째 임신으로 Rh 양성 태아를 출산한 경우, 두 번째 임신에서 태아적혈모구증(erythroblastosis fetalis) 의 발생 가능성이 높아진다. 태아적혈모구증의 예방을 위해 첫 출산 후, 산모에게 투여하는 것은?",Choice 3,erythropoietin,isohemagglutinin,rh immune globulin,surface immunoglobulin,keyhole limpet hemocyanin
nurse,"항이뇨호르몬부적절분비증후군(SIADH) 이 의심되는 외상성 뇌손상 환자의 사정결과가 다음과 같을 때 우선적인 간호중재는?• 소변량 25 mL/시간, 요비중 1.050• 혈청나트륨 118 mEq/L ",Choice 3,수분 공급 증가,소변배양검사 실시,신경학적 증상 사정,데스모프레신 피하 투여,저장성 생리식염수 정맥 투여
nurse,다음에 해당하는 간호전달체계 방법은?• 간호사 3명과 간호조무사 1명이 팀을 이루어 간호함• 병동을 구역별로 구분하여 환자를 배정함• 환자가 입원해서 퇴원할 때까지의 간호를 담당함,Choice 2,사례관리,모듈간호방법,사례간호방법,기능적 분담방법,총체적 간호방법
pharm,"본태성고혈압을 앓고 있는 60대 환자가 가슴 앞쪽의 심한 통증으로 응급실에 수송되어 검사받은 결과, 심전도검사와 관상동맥조영술에서는 이상이 나타나지 않았다. 이 환자의 가슴통증 원인은?",Choice 1,대동맥박리,심근경색증,확장심근증,승모판협착증,류마티스심장병
nurse,난임의 원인 중 난관의 문제를 발견하기 위한 방법으로 옳은 것은?,Choice 3,난관결찰술,기초체온 검사,자궁난관조영술,자궁경관점액 검사,자궁내막조직 검사
doctor,"30세 여자가 임신 14주에 다리가 부어 병원에 왔다. 양쪽 손가락 관절에 관절통과 압통이 있었다.입안 점막에는 궤양이 있었고 다리에는 원판형 발진이 있었다. 혈압은 120/80 mmHg 였다. 검사결과는 다음과 같았다. 적합한 약제는?혈액: 알부민 2.7 g/dL, 크레아티닌 0.8 mg/dL,  항핵항체 양성(1:640) 항이중가닥DNA항체 150 IU/mL (참고치, <20), C3 35 mg/dL (참고치, 83～177) 소변: 단백질 (3+), 적혈구 다수/고배율시야",Choice 2,리툭시맙(rituximab),프레드니솔론(prednisolone),메토트렉세이트(methotrexate),시클로포스파미드(cyclophosphamide),마이코페놀레이트 모페틸(mycophenolate mofetil)
nurse,일산화탄소 중독이 신체에 미치는 일차적인 영향은?,Choice 5,급격한 용혈,과민반응 유발,골수 기능 억제,순환혈류량 감소,산소 운반 능력 상실
nurse,위전절제술을 받은 환자에게서 악성빈혈을 의심할 수 있는특징적인 사정자료는?,Choice 4,붉고 매끄러운 혀,숟가락 모양의 손톱,공막과 피부의 황달,손과 발이 쑤시고 저림,머리카락과 손톱이 잘 부서짐
nurse,임신 10주 된 임부가 속이 메스껍고 헛구역질이 난다고 할 때 간호중재로 옳은 것은?,Choice 1,음식을 소량씩 자주 먹게 한다.,자극적인 음식을 권한다.,지방함유가 높은 음식을 권한다.,공복을 유지하도록 한다.,입원하여 치료받을 것을 권한다.
pharm,사슬알균(Streptococci ) 감염으로 인후통을 앓은 후에 발병한 막증식성토리콩팥염(membranoproliferative glomerulonephritis) 의 병리소견은?,Choice 1,토리에 면역복합체 침착,아밀로이드 축적과 토리 파괴,토리사이질 부위에 IgA 다량 침착,항체의 침착이 없는 토리발돌기 소실,토리바닥막 비후와 토리모세혈관 파괴
doctor,"72세 남자가 3개월 전부터 체중이 2 kg 줄고 소변을 자주 본다고 병원에 왔다. 남동생이 당뇨병으로 약물 치료 중이다. 키 165 cm, 체중 65 kg이다. 혈압 135/72 mmHg, 맥박 72회/분, 호흡 16회/분, 체온 36.7℃이다. 검사 결과는 다음과 같다. 진단은?혈액: 혈액요소질소 13 mg/dL,  크레아티닌 0.6 mg/dL, 75 g 경구포도당부하검사: 공복 포도당 112 mg/dL, 2시간 포도당 139 mg/dL, 당화혈색소 6.1% C-펩티드 2.6 ng/mL (참고치, 0.8～3.5) 소변: 포도당 (±), 단백질 (-), 케톤 (-) ",Choice 5,정상,당뇨병,콩팥당뇨,내당능장애,공복혈당장애
nurse,전해질의 불균형을 교정하기 위해 고칼륨혈증 환자에게 시행하는 관장은?,Choice 1,투약관장,청결관장,구충관장,구풍관장,기름정체관장
doctor,"24세 여자가 더운 여름날 만원 버스에서 의식을 잃고 쓰러져서 병원에 왔다. 쓰러진 후 바로 정신이 돌아왔다고 하였으며, 이전에도 3번 의식을 잃은 적이 있었다. 혈압 120/80 mmHg , 맥박 72회/분, 호흡 16회/분, 체온 36.6℃였다. 가슴청진에서 심잡음은 들리지 않았으며 호흡음도 정상이었다. 심초음파검사, 홀터검사 및 운동부하심전도검사 결과는 정상이었다. 추가로 필요한 검사는?",Choice 2,발목윗팔지수,머리기울임검사,관상동맥조영술,전기생리학검사,24시간활동혈압 측정
doctor,"23세 여자가 최근 1년 동안 몸무게가 15 kg가량 줄었다고 병원에 왔다. 최근 5개월 동안 몸무게가 느는 것을 극도로 걱정해서, 반복적으로 폭식을 한 이후에 구토를 하였고 빈번하게 이뇨제를 복용했다. 최근 6개월 동안 생리가 없다. 체질량지수는 15 kg/m^2이다. 진단은?",Choice 5,제거장애,폭식장애,신경성폭식증,제한형 신경성식욕부진증,폭식/제거형 신경성식욕부진증
doctor,해당 연도에 보수교육을 받아야 하는 의사는?,Choice 5,신규 면허취득 의사,응급의학과 4년차 전공의,의과대학 대학원 박사과정에 재학하고 있는 개업한 전문의,환자진료 업무에 종사하지 않는 질병관리본부 소속 예방의학과 전문의,해당 연도에 3개월 동안 해외연수를 다녀온 종합병원 근무 외과 전문의
nurse,보참(Beauchamp) 과 칠드레스(Childress) 의 윤리적 사고과정에서 보편적 수준으로 판단하는 마지막 단계는?,Choice 3,윤리규칙,윤리원칙,윤리이론,윤리결정,윤리규범
doctor,"18세 남자가 1년 전부터 친구들이 괜히 자신을 쳐다보고, 이유없이 왕따를 시키는 것 같다며 학교 생활에 적응하지 못하였다. 6개월 전부터 누군가 자기를 미행한다며 학교에 가지 않으려 하였고, 검정색 자동차만 보면 무서워하면서 도망가는 모습을 보였다. 3개월 전부터 몸에서 냄새가 나서 친구들이 비웃는다며 몸을 계속 반복적으로 씻었고, 사람들이 자신을 욕하는 소리가 들려서 괴롭다고 하였다. 진단은?",Choice 4,강박장애,망상장애,적응장애,정신분열병,주요우울장애
dentist,30대 남자가 상악 우측 중절치의 완전탈구로 내원하였다. 환자는 탈구된 치아를 즉시 우유에 보관하여 외상 20분 후 병원에 도착하였다. 치료법은?,Choice 3,산용액에 담근 후 재식,근관치료를 시행한 후 재식,생리식염수로 세척한 후 재식,치근단 3mm를 절제한 후 재식,치근면의 치주인대를 제거한 후 재식
nurse,"지역사회간호사가 보건사업을 수행할 때 다음은 보건관리활동 중 무엇에 대한 설명인가?• 업무의 질적 표준을 유지하기 위함• 정보체계구축 및 기록, 계속적인 관찰과 점검활동을 수행함• 사업목적을 달성하기 위해 진행하는 사업이 계획대로 진행되고 있는지 확인함",Choice 5,진단,계약,조정,통제,감시
dentist,고속회전 삭제기구를 이용하여 치질을 삭제할 때 치수자극을 최소화할 수 있는 조건은?,Choice 3,크고 무딘 버 사용,air만 coolant로 사용,간헐적인 가벼운 힘으로 사용,carbide 버보다 steel 버를 사용,시야확보를 위해 10 mL/min 주수하에 사용
nurse,대퇴혈압 측정에 관한 설명으로 옳은 것은?,Choice 4,커프의 길이는 대퇴 둘레의 1/2로 한다.,심장 높이보다 다리를 올려서 측정한다.,커프의 너비는 팔의 커프보다 좁은 것을 사용한다.,슬와(popliteal) 동맥에 청진기 판막을 대고 청진한다.,조절밸브를 열어서 1초에 20 mmHg 속도로 공기를 뺀다.
nurse,다자녀를 출산한 70세 여자가 3도 자궁탈출증으로 진단을 받았을 때 예상되는 수술 방법은?,Choice 4,원추절제술,근치자궁절제술,맥도날드교정술,질식자궁절제술,루프환상투열절제술
pharm,"2021년 한 해 동안 A약국의 의약품 매출원가는 2억 2천만 원이다. 2021년 구매비용(당기매입) 은 2억 원, 연말재고(ending inventory) 는 5천만 원이면, 기초재고(beginning inventory) 는 얼마인가?",Choice 5,3천만 원,4천만 원,5천만 원,6천만 원,7천만 원
pharm,「약사법」상 약국개설자의 약국 관리의무 사항이 아닌 것은?,Choice 3,보건위생과 관련된 사고가 없도록 종업원을 철저히 감독할 것,약국에 종사하는 약사는 약사 면허증 원본을 약국 안의 보기 쉬운 곳에 게시할 것,영업 양도로 종전 약국개설자의 지위를 승계하려는 경우에는 양도일부터 7일 이내에 신고할 것,약국개설자 자신이 그 약국을 관리할 수 없는 경우에는 대신할 약사를 지정하여 약국을 관리하게 할 것,조제행위를 하는 “약학전공대학생”에게 “약학전공대학 실습생”의 명칭 및 성명이 함께 표시된 명찰을 달게 할 것
doctor,"72세 남자가 하지말초동맥질환으로 수술을 위해 입원하였다. 평소에 가슴 불편감이 있었다.
당뇨병과 천식으로 약을 복용하고 있었다. 양쪽 가슴에서 쌕쌕거림(wheezing) 이 날숨 때 들렸다.
심전도 하부 유도(II, III, aVF) 에서 ST절 하강소견이 보였다. 수술 전 심혈관 위험 평가를 위한
검사는?",Choice 3,운동부하심전도,심근효소(CK- MB),도부타민부하 심초음파,아데노신부하 심근관류스캔,24시간 활동심전도(Holter monitoring)
pharm,"입안에서 천천히 녹거나 붕해하도록 단단하게 만든 고형제제로서 주로 구강, 인두 등에 국소효과를 나타내는 것은?",Choice 5,설하정,발포정,용해정,주형정,트로키제
dentist,주조직적합복합체(major histocompatibility complex) 유전자와 항원에 관한 설명으로 옳은 것은?,Choice 1,주조직적합복합체 유전자에 여러 개의 대립유전자(allele)가 있다.,2개의 상동염색체에 있는 주조직적합복합체 유전자 중 우성만 발현된다.,주조직적합복합체 항원은 핵 단백질이다.,class II 주조직적합복합체 항원이 모든 세포에 발현되어 있다.,개체 사이의 장기이식에서 두 개체의 주조직적합복합체 항원의 다른 정도가 클수록 거부반응이 감소한다.
pharm,"다음 사례를 읽고 각 문제에 적합한 답을 고르시오. 67세 남자가 흉통, 오심, 호흡곤란이 발생하여 응급실로 이송되었다. 심전도, 심근효소검사 후 ST분절상승 심근경색으로 진단되어 경피경관관상동맥성형술(PTCA 또는 PCI) 이 계획되었다. [병력] 이상지질혈증 [복용약물] 프라바스타틴(pravastatin) 40 mg 1일 1회 [활력징후(내원 시) ] 혈압 157/102 mmHg, 심박수 88회/분, 호흡수 22회/분 [임상검사 결과] Na 136 mEq/L, K 4.2 mEq/L, Cl 106 mEq/L, CO2 20 mEq/L  BUN 16 mg/dL,  SCr 1.1 mg/dL,  Mg 2.4 mg/dL,  Ca 8.7 mg/dL,  WBC 5,800/mm^3, Hgb 13.6 g/dL, Hct 46.0%, PLT 200,000/mm^3 TC 196 mg/dL,  LDL-C 133 mg/dL,  TG 130 mg/dL,  [심전도] ST분절상승 [심장초음파] 심장박출률(EF) 52% 이 환자에게 경피경관관상동맥성형술 중에 투여할 약물은?",Choice 2,와파린(warfarin),압식시맙(abciximab),알테플라제(alteplase),다비가트란(dabigatran),리바록사반(rivaroxaban)
doctor,"46세 여자가 2개월 전부터 몸이 붓고 기운이 없어 왔다. 2년 전에 갑상샘 결절을 진단받고
갑상샘절제술을 받았으며 그 이후로 특별한 치료없이 지냈다고 한다. 목부위 왼쪽 아래 부위에
3 cm 정도 수술 자국이 있었고 오른쪽 갑상샘이 커져 있었다. 피부가 거칠고 건조하였으며,
정강뼈앞 부종이 있었다. 혈액검사결과는 다음과 같다. 처치는?
갑상샘자극호르몬 24.5 mIU/L (참고치, 0.34~4.25), 유리 T4 0.6 ng/dL (참고치, 0.8~1.7) 
총 콜레스테롤 250 mg/dL,  혈액요소질소 34 mg/dL,  크레아티닌 1.1 mg/dL",Choice 3,이뇨제 투여,브로모크립틴 투여,갑상샘호르몬 투여,방사성 요오드 투여,1개월 후 갑상샘기능검사 시행
nurse,숙련된 간호사가 병원을 그만두었을 때 이 병원 조직에 미치는 영향은?,Choice 1,병원 조직의 경제적 부담 증가,간호의 질 향상,간호팀 기능의 향상,기존 직원들의 사기 진작,간호 관리자의 관리 능력 향상
pharm,"77세 남자가 ST분절상승 심근경색을 진단받고, 부하용량의 항혈소판제 투여 후 스텐트 삽입술을 받았다. 스텐트 삽입 후 최소 12개월간 지속적으로 투여해야 할 항혈전요법으로 적절한 것은?",Choice 3,아스피린/디피리다몰(aspirin/dipyridamole) 25/200mg 1일 2회,아스피린 100mg 1일 1회 + 아픽사반(apixaban) 5mg 1일 1회,아스피린 100mg 1일 1회 + 티카그렐러(ticagrelor) 90 mg 1일 2회,아스피린 100mg 1일 1회 + 실로스타졸(cilostazol) 200mg 1일 1회,아스피린 100mg 1일 1회 + 클로피도그렐(clopidogrel) 300mg 1일 1회
doctor,"36세 여자가 잠을 자지 않는다며 남편과 함께 병원에 왔다. 2주 전에 직장을 그만두고 집안일도 하지 않으면서, 천지신명이 100억 원을 벌 수 있는 프로젝트를 알려줬다며 기분이 들떠 있었다. 3일 전부터는 하루 1～2시간밖에 자지 않으면서 기운이 넘쳐 프로젝트에 대해 끊임없이 말하며 집안 여기저기에 자료들을 펼쳐두었지만, 남편이 보기에는 아내가 산만하고 부산하게 움직일 뿐이었다. 진단은?",Choice 2,망상장애,양극성장애,조현정동장애,급성스트레스장애,주의력결핍과다행동장애
nurse,다음과 같은 심전도를 보이는 부정맥은?,Choice 2,심방조동(atrial flutter),심방세동(atrial fibrillation),심실조동(ventricular flutter),각차단(bundle branch block),심실세동(ventricular fibrillation)
dentist,"익돌하악봉선의 내측에 붙어 있으며, 환자가 혀를 앞으로 내밀 때 수축하여 하악의치의 원심설측 부위 변연형성에 기여하는 근육은?",Choice 5,교근,협근,악설골근,이설골근,상인두수축근
pharmacy,"부분적으로 이중나선 구조를 지닌 환형의 DNA를 유전체로 가지며, 유전체 복제에 역전사효소가 필요한 바이러스는?",Choice 4,레오바이러스(reovirus),코로나바이러스(coronavirus),A형간염바이러스(hepatitis A virus),B형간염바이러스(hepatitis B virus),파라인플루엔자바이러스(parainfluenza virus)
dentist,「감염병의 예방 및 관리에 관한 법률」상 시장·군수·구청장이 필수예방접종을 실시해야 하는 제1급감염병은?,Choice 3,홍역,결핵,디프테리아,세균성이질,인플루엔자
doctor,"68세 남자가 의식이 저하되어 병원에 실려 왔다. 말기 식도암으로 진단받고 보존적 치료로 마약성진통제를 투여받고 있다. 혈압 90/60 mmHg, 맥박 95회/분, 호흡 12회/분, 체온 36.7℃이다. 움직임이 둔하고, 통증에 반응하지 않는다. 동공은 축소되어 있다. 검사 결과는 다음과 같다. 치료는?혈액: 혈색소 11.2 g/dL, 백혈구 8,500/mm^3 혈액요소질소/크레아티닌 13/1.0 mg/dL, Na +/K+/Cl- 140/4.0/103 meq/L  동맥혈가스분석(대기호흡) : pH 7.32, PaCO2 52 mmHg PaO2 58 mmHg, HCO3- 26 meq/L  ",Choice 1,날록손,암모니아,피리독신,플루마제닐,글루코코티코이드
doctor,"35세 남자가 샘창자궤양으로 진단받은 후 3제요법(오메프라졸, 클라리트로마이신, 아목시실린) 으로 2주간 헬리코박터필로리(H. pylori ) 제균치료를 하였다. 치료 종료 1개월 후 시행한 요소호기검사에서 양성으로 나왔다. 조치는?",Choice 5,경과 관찰,위내시경 재검,항생제내성검사,3제요법(오메프라졸 + 클라리트로마이신 + 아목시실린) 반복,4제요법(오메프라졸 + 메트로니다졸 + 비스무트 + 테트라사이클린)
doctor,41세 산과력 0-0-0-0인 여자가 3년 동안 임신이 되지 않아 병원에 왔다. 월경주기는 28일로 규칙적이었다. 자궁난관조영술과 남편의 정액검사는 정상이었다. 1년 전에 자궁강내정액주입술을 3회 시행하였으나 임신이 되지 않았다. 가장 적절한 처치는?,Choice 1,체외수정,자궁강내정액주입술,클로미펜 + 자궁강내정액주입술,생식샘자극호르몬+ 자궁강내정액주입술,세포질내정자주입술(intracytoplasmic sperm injection)
pharm,"다음 수용액 중 전리도가 가장 작은 것은? (단, H2CO3의 Ka1＝1.0x10^-7, NH4OH의 Kb＝1.0x10^-5이다.) ",Choice 3,0.001 mol/L H2CO3,0.001 mol/L NH4OH,0.1 mol/L H2CO3,0.1 mol/L NH4OH,0.1 mol/L NH4Cl
pharm,"다음의 특징을 갖는 질환은?• 연령, 성별, 근시, 당뇨 등이 위험인자• 다른 눈 질환과 연관되어 발생• 선천적 혹은 후천적 수정체 혼탁",Choice 4,각막염,결막염,망막염,백내장,시신경유두부종
dentist,다음 중 열전도율이 가장 높은 것은?,Choice 3,법랑질,상아질,금,아말감,산화아연유지놀
dentist,스나이더 검사에서 중등도 활성으로 판정하는 경우는?,Choice 3,12시간 배양 후 변색,24시간 배양 후 변색,48시간 배양 후 변색,72시간 배양 후 변색,96시간 배양 후 변색
doctor,"쌍둥이를 임신한 임신 22주인 39세 미분만부가 태동이 없다고 응급실에 왔다. 혈압 120/80 mmHg, 맥박 80회/분, 호흡 20회/분, 체온 36.5℃이다. 골반검사에서 자궁목은 닫혀있다. 질분비물이나 출혈은 없다. 초음파검사에서 2 융모막 2 양막, 한쪽 태아는 둔위이며 태아 심박동은 140회/분이고, 다른쪽 태아는 둔위이며 심박동이 측정되지 않는다. 태반에 이상은 없다. 1주 전에 정밀초음파검사에서 태아에 이상은 없었다. 처치는?",Choice 1,경과관찰,옥시토신,베타메타손,황산마그네슘,제왕절개술
